src_ip,dst_ip,protocol,timestamp,length,src_port,dst_port,protocol_type,src_ip_num,dst_ip_num,anomaly
192.168.0.123,224.0.0.251,17,1722623640,69,5353.0,5353.0,UDP,3232235643,3758096635,-1
192.168.0.123,224.0.0.251,17,1722623640,69,5353.0,5353.0,UDP,3232235643,3758096635,-1
192.168.0.123,192.168.0.255,17,1722623641,92,137.0,137.0,UDP,3232235643,3232235775,-1
192.168.0.123,224.0.0.251,17,1722623641,69,5353.0,5353.0,UDP,3232235643,3758096635,-1
192.168.0.123,224.0.0.251,17,1722623641,69,5353.0,5353.0,UDP,3232235643,3758096635,-1
192.168.0.123,192.168.0.255,17,1722623641,92,137.0,137.0,UDP,3232235643,3232235775,-1
192.168.0.123,192.168.0.255,17,1722623642,92,137.0,137.0,UDP,3232235643,3232235775,-1
192.168.0.123,224.0.0.251,17,1722623646,87,5353.0,5353.0,UDP,3232235643,3758096635,-1
192.168.0.123,239.255.255.250,17,1722623646,167,63853.0,1900.0,UDP,3232235643,4026531834,-1
192.168.0.123,192.168.0.255,17,1722623652,86,57621.0,57621.0,UDP,3232235643,3232235775,-1
192.168.0.1,192.168.0.123,17,1722623655,212,53.0,62871.0,UDP,3232235521,3232235643,-1
192.168.0.123,192.168.0.255,17,1722623683,86,57621.0,57621.0,UDP,3232235643,3232235775,-1
192.168.0.123,192.168.0.255,17,1722623713,86,57621.0,57621.0,UDP,3232235643,3232235775,-1
192.168.0.123,192.168.0.255,17,1722623743,86,57621.0,57621.0,UDP,3232235643,3232235775,-1
192.168.0.123,192.168.0.255,17,1722623773,86,57621.0,57621.0,UDP,3232235643,3232235775,-1
192.168.0.123,192.168.0.255,17,1722623803,86,57621.0,57621.0,UDP,3232235643,3232235775,-1
192.168.0.123,192.168.0.255,17,1722623833,86,57621.0,57621.0,UDP,3232235643,3232235775,-1
192.168.0.123,192.168.0.255,17,1722623863,86,57621.0,57621.0,UDP,3232235643,3232235775,-1
192.168.0.123,192.168.0.255,17,1722623893,86,57621.0,57621.0,UDP,3232235643,3232235775,-1
192.168.0.123,192.168.0.255,17,1722623923,86,57621.0,57621.0,UDP,3232235643,3232235775,-1
192.168.0.123,192.168.0.255,17,1722624193,86,57621.0,57621.0,UDP,3232235643,3232235775,-1
192.168.0.123,192.168.0.255,17,1722624223,86,57621.0,57621.0,UDP,3232235643,3232235775,-1
192.168.0.123,192.168.0.255,17,1722624253,86,57621.0,57621.0,UDP,3232235643,3232235775,-1
192.168.0.123,192.168.0.255,17,1722624283,86,57621.0,57621.0,UDP,3232235643,3232235775,-1
192.168.0.123,192.168.0.255,17,1722624313,86,57621.0,57621.0,UDP,3232235643,3232235775,-1
